nMsg,Date,Time
213,30-09-2013,19:52:03
214,30-09-2013,19:52:03
215,30-09-2013,19:52:04
216,30-09-2013,19:52:04
217,30-09-2013,19:52:04
218,30-09-2013,19:52:04
219,30-09-2013,19:52:04
220,30-09-2013,19:52:05
221,30-09-2013,19:52:05
222,30-09-2013,19:52:05
223,30-09-2013,19:52:05
224,30-09-2013,19:52:06
225,30-09-2013,19:52:06
226,30-09-2013,19:52:09
227,30-09-2013,19:52:13
228,30-09-2013,19:52:18
229,30-09-2013,19:52:19
230,30-09-2013,19:52:20
231,30-09-2013,19:52:20
232,30-09-2013,19:52:20
233,30-09-2013,19:52:20
234,30-09-2013,19:52:20
235,30-09-2013,19:52:21
236,30-09-2013,19:52:21
237,30-09-2013,19:52:21
238,30-09-2013,19:52:21
239,30-09-2013,19:52:21
240,30-09-2013,19:52:22
241,30-09-2013,19:52:22
242,30-09-2013,19:52:22
243,30-09-2013,19:52:22
244,30-09-2013,19:52:22
245,30-09-2013,19:52:23
246,30-09-2013,19:52:23
247,30-09-2013,19:52:23
248,30-09-2013,19:52:23
249,30-09-2013,19:52:24
250,30-09-2013,19:52:27
251,30-09-2013,19:52:33
252,30-09-2013,19:52:34
253,30-09-2013,19:52:34
254,30-09-2013,19:52:35
255,30-09-2013,19:52:35
256,30-09-2013,19:52:35
257,30-09-2013,19:52:35
258,30-09-2013,19:52:35
259,30-09-2013,19:52:35
260,30-09-2013,19:52:36
261,30-09-2013,19:52:36
262,30-09-2013,19:52:36
263,30-09-2013,19:52:37
264,30-09-2013,19:52:37
265,30-09-2013,19:52:37
266,30-09-2013,19:52:37
267,30-09-2013,19:52:38
268,30-09-2013,19:52:38
269,30-09-2013,19:52:38
270,30-09-2013,19:52:38
271,30-09-2013,19:52:38
272,30-09-2013,19:52:39
273,30-09-2013,19:52:39
274,30-09-2013,19:52:39
275,30-09-2013,19:52:39
276,30-09-2013,19:52:39
277,30-09-2013,19:52:42
278,30-09-2013,19:52:49
279,30-09-2013,19:52:49
280,30-09-2013,19:52:50
281,30-09-2013,19:52:50
282,30-09-2013,19:52:50
283,30-09-2013,19:52:51
284,30-09-2013,19:52:51
285,30-09-2013,19:52:51
286,30-09-2013,19:52:51
287,30-09-2013,19:52:52
288,30-09-2013,19:52:52
289,30-09-2013,19:52:52
290,30-09-2013,19:52:53
291,30-09-2013,19:52:53
292,30-09-2013,19:52:53
293,30-09-2013,19:52:53
294,30-09-2013,19:52:53
295,30-09-2013,19:52:54
296,30-09-2013,19:52:54
297,30-09-2013,19:52:54
298,30-09-2013,19:52:54
299,30-09-2013,19:52:55
300,30-09-2013,19:52:55
301,30-09-2013,19:52:55
302,30-09-2013,19:52:59
303,30-09-2013,19:53:04
304,30-09-2013,19:53:05
305,30-09-2013,19:53:05
306,30-09-2013,19:53:06
307,30-09-2013,19:53:06
308,30-09-2013,19:53:06
309,30-09-2013,19:53:06
310,30-09-2013,19:53:07
311,30-09-2013,19:53:07
312,30-09-2013,19:53:07
313,30-09-2013,19:53:08
314,30-09-2013,19:53:08
315,30-09-2013,19:53:08
316,30-09-2013,19:53:08
317,30-09-2013,19:53:08
318,30-09-2013,19:53:09
319,30-09-2013,19:53:09
320,30-09-2013,19:53:09
321,30-09-2013,19:53:09
322,30-09-2013,19:53:10
323,30-09-2013,19:53:10
324,30-09-2013,19:53:10
325,30-09-2013,19:53:10
326,30-09-2013,19:53:10
327,30-09-2013,19:53:11
328,30-09-2013,19:53:11
329,30-09-2013,19:53:11
330,30-09-2013,19:53:11
331,30-09-2013,19:53:11
332,30-09-2013,19:53:11
333,30-09-2013,19:53:12
334,30-09-2013,19:53:12
335,30-09-2013,19:53:16
336,30-09-2013,19:53:21
337,30-09-2013,19:53:22
338,30-09-2013,19:53:22
339,30-09-2013,19:53:23
340,30-09-2013,19:53:23
341,30-09-2013,19:53:23
342,30-09-2013,19:53:23
343,30-09-2013,19:53:24
344,30-09-2013,19:53:24
345,30-09-2013,19:53:24
346,30-09-2013,19:53:24
347,30-09-2013,19:53:24
348,30-09-2013,19:53:24
349,30-09-2013,19:53:25
350,30-09-2013,19:53:25
351,30-09-2013,19:53:25
352,30-09-2013,19:53:25
353,30-09-2013,19:53:26
354,30-09-2013,19:53:26
355,30-09-2013,19:53:26
356,30-09-2013,19:53:27
357,30-09-2013,19:53:27
358,30-09-2013,19:53:27
359,30-09-2013,19:53:27
360,30-09-2013,19:53:28
361,30-09-2013,19:53:32
362,30-09-2013,19:53:37
363,30-09-2013,19:53:38
364,30-09-2013,19:53:38
365,30-09-2013,19:53:39
366,30-09-2013,19:53:39
367,30-09-2013,19:53:39
368,30-09-2013,19:53:39
369,30-09-2013,19:53:39
370,30-09-2013,19:53:40
371,30-09-2013,19:53:40
372,30-09-2013,19:53:40
373,30-09-2013,19:53:40
374,30-09-2013,19:53:41
375,30-09-2013,19:53:41
376,30-09-2013,19:53:41
377,30-09-2013,19:53:41
378,30-09-2013,19:53:42
379,30-09-2013,19:53:42
380,30-09-2013,19:53:42
381,30-09-2013,19:53:43
382,30-09-2013,19:53:43
383,30-09-2013,19:53:43
384,30-09-2013,19:53:43
385,30-09-2013,19:53:43
386,30-09-2013,19:53:44
387,30-09-2013,19:53:44
388,30-09-2013,19:53:44
389,30-09-2013,19:53:47
390,30-09-2013,19:53:53
391,30-09-2013,19:53:54
392,30-09-2013,19:53:54
393,30-09-2013,19:53:54
394,30-09-2013,19:53:55
395,30-09-2013,19:53:55
396,30-09-2013,19:53:55
397,30-09-2013,19:53:55
398,30-09-2013,19:53:55
399,30-09-2013,19:53:56
400,30-09-2013,19:53:56
401,30-09-2013,19:53:56
402,30-09-2013,19:53:56
403,30-09-2013,19:53:57
404,30-09-2013,19:53:57
405,30-09-2013,19:53:57
406,30-09-2013,19:53:57
407,30-09-2013,19:53:57
408,30-09-2013,19:53:58
409,30-09-2013,19:53:58
410,30-09-2013,19:53:58
411,30-09-2013,19:53:59
412,30-09-2013,19:53:59
413,30-09-2013,19:53:59
414,30-09-2013,19:53:59
415,30-09-2013,19:53:59
416,30-09-2013,19:54:00
417,30-09-2013,19:54:00
418,30-09-2013,19:54:00
419,30-09-2013,19:54:00
420,30-09-2013,19:54:00
421,30-09-2013,19:54:01
422,30-09-2013,19:54:04
423,30-09-2013,19:54:10
424,30-09-2013,19:54:10
425,30-09-2013,19:54:11
426,30-09-2013,19:54:11
427,30-09-2013,19:54:12
428,30-09-2013,19:54:12
429,30-09-2013,19:54:12
430,30-09-2013,19:54:12
431,30-09-2013,19:54:12
432,30-09-2013,19:54:12
433,30-09-2013,19:54:13
434,30-09-2013,19:54:13
435,30-09-2013,19:54:13
436,30-09-2013,19:54:13
437,30-09-2013,19:54:14
438,30-09-2013,19:54:14
439,30-09-2013,19:54:14
440,30-09-2013,19:54:14
441,30-09-2013,19:54:15
442,30-09-2013,19:54:15
443,30-09-2013,19:54:15
444,30-09-2013,19:54:15
445,30-09-2013,19:54:15
446,30-09-2013,19:54:16
447,30-09-2013,19:54:19
448,30-09-2013,19:54:25
449,30-09-2013,19:54:25
450,30-09-2013,19:54:26
451,30-09-2013,19:54:26
452,30-09-2013,19:54:27
453,30-09-2013,19:54:27
454,30-09-2013,19:54:30
455,30-09-2013,19:54:30
456,30-09-2013,19:54:30
457,30-09-2013,19:54:30
458,30-09-2013,19:54:30
459,30-09-2013,19:54:30
460,30-09-2013,19:54:31
461,30-09-2013,19:54:31
462,30-09-2013,19:54:31
463,30-09-2013,19:54:35
464,30-09-2013,19:54:40
465,30-09-2013,19:54:41
466,30-09-2013,19:54:42
467,30-09-2013,19:54:42
468,30-09-2013,19:54:42
469,30-09-2013,19:54:42
470,30-09-2013,19:54:43
471,30-09-2013,19:54:43
472,30-09-2013,19:54:43
473,30-09-2013,19:54:43
474,30-09-2013,19:54:43
475,30-09-2013,19:54:44
476,30-09-2013,19:54:44
477,30-09-2013,19:54:44
478,30-09-2013,19:54:44
479,30-09-2013,19:54:45
480,30-09-2013,19:54:45
481,30-09-2013,19:54:46
482,30-09-2013,19:54:46
483,30-09-2013,19:54:46
484,30-09-2013,19:54:46
485,30-09-2013,19:54:47
486,30-09-2013,19:54:49
487,30-09-2013,19:54:56
488,30-09-2013,19:54:56
489,30-09-2013,19:54:57
490,30-09-2013,19:54:58
491,30-09-2013,19:54:58
492,30-09-2013,19:54:58
493,30-09-2013,19:54:58
494,30-09-2013,19:54:58
495,30-09-2013,19:54:59
496,30-09-2013,19:54:59
497,30-09-2013,19:54:59
498,30-09-2013,19:55:00
499,30-09-2013,19:55:00
500,30-09-2013,19:55:00
501,30-09-2013,19:55:00
502,30-09-2013,19:55:01
503,30-09-2013,19:55:01
504,30-09-2013,19:55:01
505,30-09-2013,19:55:01
506,30-09-2013,19:55:02
507,30-09-2013,19:55:02
508,30-09-2013,19:55:02
509,30-09-2013,19:55:02
510,30-09-2013,19:55:06
511,30-09-2013,19:55:11
512,30-09-2013,19:55:12
513,30-09-2013,19:55:13
514,30-09-2013,19:55:13
515,30-09-2013,19:55:13
516,30-09-2013,19:55:14
517,30-09-2013,19:55:14
518,30-09-2013,19:55:14
519,30-09-2013,19:55:14
520,30-09-2013,19:55:14
521,30-09-2013,19:55:15
522,30-09-2013,19:55:15
523,30-09-2013,19:55:15
524,30-09-2013,19:55:15
525,30-09-2013,19:55:16
526,30-09-2013,19:55:16
527,30-09-2013,19:55:16
528,30-09-2013,19:55:16
529,30-09-2013,19:55:16
530,30-09-2013,19:55:17
531,30-09-2013,19:55:17
532,30-09-2013,19:55:17
533,30-09-2013,19:55:17
534,30-09-2013,19:55:20
535,30-09-2013,19:55:22
536,30-09-2013,19:55:27
537,30-09-2013,19:55:27
538,30-09-2013,19:55:28
539,30-09-2013,19:55:28
540,30-09-2013,19:55:28
541,30-09-2013,19:55:29
542,30-09-2013,19:55:29
543,30-09-2013,19:55:29
544,30-09-2013,19:55:29
545,30-09-2013,19:55:29
546,30-09-2013,19:55:30
547,30-09-2013,19:55:30
548,30-09-2013,19:55:30
549,30-09-2013,19:55:30
550,30-09-2013,19:55:30
551,30-09-2013,19:55:31
552,30-09-2013,19:55:31
553,30-09-2013,19:55:31
554,30-09-2013,19:55:31
555,30-09-2013,19:55:31
556,30-09-2013,19:55:32
557,30-09-2013,19:55:32
558,30-09-2013,19:55:32
559,30-09-2013,19:55:34
560,30-09-2013,19:55:40
561,30-09-2013,19:55:42
562,30-09-2013,19:55:43
563,30-09-2013,19:55:43
564,30-09-2013,19:55:43
565,30-09-2013,19:55:44
566,30-09-2013,19:55:44
567,30-09-2013,19:55:44
568,30-09-2013,19:55:44
569,30-09-2013,19:55:45
570,30-09-2013,19:55:45
571,30-09-2013,19:55:45
572,30-09-2013,19:55:45
573,30-09-2013,19:55:46
574,30-09-2013,19:55:46
575,30-09-2013,19:55:46
576,30-09-2013,19:55:46
577,30-09-2013,19:55:46
578,30-09-2013,19:55:47
579,30-09-2013,19:55:47
580,30-09-2013,19:55:47
581,30-09-2013,19:55:47
582,30-09-2013,19:55:48
583,30-09-2013,19:55:48
584,30-09-2013,19:55:49
585,30-09-2013,19:55:54
586,30-09-2013,19:55:58
587,30-09-2013,19:56:00
588,30-09-2013,19:56:00
589,30-09-2013,19:56:01
590,30-09-2013,19:56:01
591,30-09-2013,19:56:01
592,30-09-2013,19:56:01
593,30-09-2013,19:56:01
594,30-09-2013,19:56:01
595,30-09-2013,19:56:02
596,30-09-2013,19:56:02
597,30-09-2013,19:56:03
598,30-09-2013,19:56:03
599,30-09-2013,19:56:03
600,30-09-2013,19:56:04
601,30-09-2013,19:56:05
602,30-09-2013,19:56:09
603,30-09-2013,19:56:13
604,30-09-2013,19:56:13
605,30-09-2013,19:56:14
606,30-09-2013,19:56:14
607,30-09-2013,19:56:15
608,30-09-2013,19:56:15
609,30-09-2013,19:56:15
610,30-09-2013,19:56:15
611,30-09-2013,19:56:15
612,30-09-2013,19:56:16
613,30-09-2013,19:56:16
614,30-09-2013,19:56:16
615,30-09-2013,19:56:17
616,30-09-2013,19:56:17
617,30-09-2013,19:56:17
618,30-09-2013,19:56:18
619,30-09-2013,19:56:18
620,30-09-2013,19:56:18
621,30-09-2013,19:56:18
622,30-09-2013,19:56:19
623,30-09-2013,19:56:19
624,30-09-2013,19:56:19
625,30-09-2013,19:56:20
626,30-09-2013,19:56:20
627,30-09-2013,19:56:20
628,30-09-2013,19:56:20
629,30-09-2013,19:56:24
630,30-09-2013,19:56:29
631,30-09-2013,19:56:30
632,30-09-2013,19:56:30
633,30-09-2013,19:56:31
634,30-09-2013,19:56:31
635,30-09-2013,19:56:31
636,30-09-2013,19:56:31
637,30-09-2013,19:56:32
638,30-09-2013,19:56:32
639,30-09-2013,19:56:32
640,30-09-2013,19:56:32
641,30-09-2013,19:56:32
642,30-09-2013,19:56:33
643,30-09-2013,19:56:33
644,30-09-2013,19:56:33
645,30-09-2013,19:56:33
646,30-09-2013,19:56:34
647,30-09-2013,19:56:34
648,30-09-2013,19:56:34
649,30-09-2013,19:56:34
650,30-09-2013,19:56:35
651,30-09-2013,19:56:35
652,30-09-2013,19:56:35
653,30-09-2013,19:56:35
654,30-09-2013,19:56:35
655,30-09-2013,19:56:36
656,30-09-2013,19:56:36
657,30-09-2013,19:56:36
658,30-09-2013,19:56:36
659,30-09-2013,19:56:37
660,30-09-2013,19:56:39
661,30-09-2013,19:56:41
662,30-09-2013,19:56:46
663,30-09-2013,19:56:46
664,30-09-2013,19:56:47
665,30-09-2013,19:56:48
666,30-09-2013,19:56:48
667,30-09-2013,19:56:48
668,30-09-2013,19:56:48
669,30-09-2013,19:56:48
670,30-09-2013,19:56:48
671,30-09-2013,19:56:49
672,30-09-2013,19:56:49
673,30-09-2013,19:56:50
674,30-09-2013,19:56:50
675,30-09-2013,19:56:50
676,30-09-2013,19:56:50
677,30-09-2013,19:56:50
678,30-09-2013,19:56:51
679,30-09-2013,19:56:51
680,30-09-2013,19:56:51
681,30-09-2013,19:56:54
682,30-09-2013,19:57:00
683,30-09-2013,19:57:01
684,30-09-2013,19:57:01
685,30-09-2013,19:57:02
686,30-09-2013,19:57:02
687,30-09-2013,19:57:02
688,30-09-2013,19:57:02
689,30-09-2013,19:57:03
690,30-09-2013,19:57:03
691,30-09-2013,19:57:03
692,30-09-2013,19:57:04
693,30-09-2013,19:57:04
694,30-09-2013,19:57:04
695,30-09-2013,19:57:05
696,30-09-2013,19:57:05
697,30-09-2013,19:57:05
698,30-09-2013,19:57:05
699,30-09-2013,19:57:06
700,30-09-2013,19:57:06
701,30-09-2013,19:57:06
702,30-09-2013,19:57:06
703,30-09-2013,19:57:07
704,30-09-2013,19:57:07
705,30-09-2013,19:57:11
706,30-09-2013,19:57:16
707,30-09-2013,19:57:17
708,30-09-2013,19:57:17
709,30-09-2013,19:57:18
710,30-09-2013,19:57:18
711,30-09-2013,19:57:18
712,30-09-2013,19:57:18
713,30-09-2013,19:57:19
714,30-09-2013,19:57:19
715,30-09-2013,19:57:19
716,30-09-2013,19:57:19
717,30-09-2013,19:57:20
718,30-09-2013,19:57:20
719,30-09-2013,19:57:21
720,30-09-2013,19:57:21
721,30-09-2013,19:57:23
722,30-09-2013,19:57:27
723,30-09-2013,19:57:31
724,30-09-2013,19:57:31
725,30-09-2013,19:57:32
726,30-09-2013,19:57:32
727,30-09-2013,19:57:33
728,30-09-2013,19:57:33
729,30-09-2013,19:57:33
730,30-09-2013,19:57:33
731,30-09-2013,19:57:33
732,30-09-2013,19:57:34
733,30-09-2013,19:57:34
734,30-09-2013,19:57:34
735,30-09-2013,19:57:34
736,30-09-2013,19:57:35
737,30-09-2013,19:57:35
738,30-09-2013,19:57:35
739,30-09-2013,19:57:35
740,30-09-2013,19:57:36
741,30-09-2013,19:57:37
742,30-09-2013,19:57:41
743,30-09-2013,19:57:45
744,30-09-2013,19:57:46
745,30-09-2013,19:57:46
746,30-09-2013,19:57:47
747,30-09-2013,19:57:47
748,30-09-2013,19:57:47
749,30-09-2013,19:57:47
750,30-09-2013,19:57:47
751,30-09-2013,19:57:48
752,30-09-2013,19:57:48
753,30-09-2013,19:57:48
754,30-09-2013,19:57:48
755,30-09-2013,19:57:49
756,30-09-2013,19:57:49
757,30-09-2013,19:57:49
758,30-09-2013,19:57:50
759,30-09-2013,19:57:50
760,30-09-2013,19:57:50
761,30-09-2013,19:57:50
762,30-09-2013,19:57:51
763,30-09-2013,19:57:54
764,30-09-2013,19:58:00
765,30-09-2013,19:58:00
766,30-09-2013,19:58:01
767,30-09-2013,19:58:01
768,30-09-2013,19:58:02
769,30-09-2013,19:58:02
770,30-09-2013,19:58:02
771,30-09-2013,19:58:02
772,30-09-2013,19:58:02
773,30-09-2013,19:58:02
774,30-09-2013,19:58:03
775,30-09-2013,19:58:03
776,30-09-2013,19:58:03
777,30-09-2013,19:58:03
778,30-09-2013,19:58:04
779,30-09-2013,19:58:04
780,30-09-2013,19:58:04
781,30-09-2013,19:58:04
782,30-09-2013,19:58:05
783,30-09-2013,19:58:05
784,30-09-2013,19:58:05
785,30-09-2013,19:58:05
786,30-09-2013,19:58:05
787,30-09-2013,19:58:06
788,30-09-2013,19:58:07
789,30-09-2013,19:58:10
790,30-09-2013,19:58:15
791,30-09-2013,19:58:16
792,30-09-2013,19:58:16
793,30-09-2013,19:58:16
794,30-09-2013,19:58:17
795,30-09-2013,19:58:17
796,30-09-2013,19:58:17
797,30-09-2013,19:58:17
798,30-09-2013,19:58:17
799,30-09-2013,19:58:18
800,30-09-2013,19:58:18
801,30-09-2013,19:58:18
802,30-09-2013,19:58:18
803,30-09-2013,19:58:19
804,30-09-2013,19:58:19
805,30-09-2013,19:58:19
806,30-09-2013,19:58:20
807,30-09-2013,19:58:20
808,30-09-2013,19:58:20
809,30-09-2013,19:58:20
810,30-09-2013,19:58:21
811,30-09-2013,19:58:21
812,30-09-2013,19:58:24
813,30-09-2013,19:58:30
814,30-09-2013,19:58:31
815,30-09-2013,19:58:31
816,30-09-2013,19:58:32
817,30-09-2013,19:58:32
818,30-09-2013,19:58:32
819,30-09-2013,19:58:32
820,30-09-2013,19:58:33
821,30-09-2013,19:58:33
822,30-09-2013,19:58:33
823,30-09-2013,19:58:33
824,30-09-2013,19:58:33
825,30-09-2013,19:58:34
826,30-09-2013,19:58:34
827,30-09-2013,19:58:34
828,30-09-2013,19:58:34
829,30-09-2013,19:58:35
830,30-09-2013,19:58:35
831,30-09-2013,19:58:35
832,30-09-2013,19:58:35
833,30-09-2013,19:58:36
834,30-09-2013,19:58:36
835,30-09-2013,19:58:40
836,30-09-2013,19:58:45
837,30-09-2013,19:58:46
838,30-09-2013,19:58:47
839,30-09-2013,19:58:47
840,30-09-2013,19:58:47
841,30-09-2013,19:58:47
842,30-09-2013,19:58:48
843,30-09-2013,19:58:48
844,30-09-2013,19:58:48
845,30-09-2013,19:58:48
846,30-09-2013,19:58:48
847,30-09-2013,19:58:49
848,30-09-2013,19:58:49
849,30-09-2013,19:58:49
850,30-09-2013,19:58:49
851,30-09-2013,19:58:50
852,30-09-2013,19:58:50
853,30-09-2013,19:58:50
854,30-09-2013,19:58:50
855,30-09-2013,19:58:51
856,30-09-2013,19:58:51
857,30-09-2013,19:58:51
858,30-09-2013,19:58:51
859,30-09-2013,19:58:52
860,30-09-2013,19:58:52
861,30-09-2013,19:58:52
862,30-09-2013,19:58:53
863,30-09-2013,19:58:57
864,30-09-2013,19:59:02
865,30-09-2013,19:59:03
866,30-09-2013,19:59:03
867,30-09-2013,19:59:03
868,30-09-2013,19:59:03
869,30-09-2013,19:59:04
870,30-09-2013,19:59:04
871,30-09-2013,19:59:04
872,30-09-2013,19:59:04
873,30-09-2013,19:59:04
874,30-09-2013,19:59:05
875,30-09-2013,19:59:05
876,30-09-2013,19:59:05
877,30-09-2013,19:59:05
878,30-09-2013,19:59:06
879,30-09-2013,19:59:06
880,30-09-2013,19:59:06
881,30-09-2013,19:59:07
882,30-09-2013,19:59:07
883,30-09-2013,19:59:07
884,30-09-2013,19:59:07
885,30-09-2013,19:59:07
886,30-09-2013,19:59:08
887,30-09-2013,19:59:12
888,30-09-2013,19:59:17
